"GRID.STA","LON","LAT"
"hn175",-153.3075,56.57003
"hn177",-153.0988,56.69099
"hn179",-152.8894,56.81195
"hn181",-152.6794,56.9329
"hn183",-152.4687,57.05386
"hn185",-152.2573,57.17482
"hn187",-152.0452,57.29577
"hn189",-151.8324,57.41673
"hn191",-151.6189,57.53769
"hn193",-151.4047,57.65864
"hn195",-151.1897,57.7796
"hn197",-150.9741,57.90055
"hn199",-150.7577,58.02151
"hn201",-150.5406,58.14247
"hn203",-150.3228,58.26342
"hn205",-150.1042,58.38438
"hp149",-155.7365859,54.87992536
"hp151",-155.5239091,55.00864566
"hp153",-155.3214487,55.13080245
"hp155",-155.1189883,55.25258662
"hp157",-154.9165278,55.37399875
"hp159",-154.7140674,55.49503944
"hp161",-154.511607,55.61570929
"hp163",-154.3091466,55.73600889
"hp165",-154.1066862,55.85593886
"hp167",-153.9042258,55.9754998
"hp169",-153.7017654,56.09469234
"hp171",-153.499305,56.21351709
"hp173",-153.2968446,56.33197468
"hp175",-153.0943842,56.45006574
"hp177",-152.8833224,56.57278432
"hp179",-152.6757418,56.69309156
"hp181",-152.4628766,56.81606365
"hp183",-152.2500115,56.93863348
"hp185",-152.0371463,57.06080181
"hp187",-151.8242811,57.1825694
"hp189",-151.6114159,57.30393703
"hp191",-151.3985507,57.42490545
"hp193",-151.1856855,57.54547545
"hp195",-150.9728203,57.6656478
"hp197",-150.7599551,57.7854233
"hp199",-150.5472872,57.90469227
"hp201",-150.3306084,58.02580482
"hp203",-150.1139297,58.14650864
"hr161",-154.2938385,55.49900651
"hr163",-154.0922067,55.61917117
"hr165",-153.8905748,55.73896862
"hr167",-153.688943,55.85839948
"hr169",-153.4873111,55.97746434
"hr171",-153.2856793,56.09616381
"hr173",-153.0840474,56.2144985
"hr175",-152.8824156,56.33246904
"hr177",-152.6704786,56.45607701
"hr179",-152.4641063,56.57605425
"hr181",-152.2508133,56.69965613
"hr183",-152.0375204,56.82285342
"hr185",-151.8242274,56.94564688
"hr187",-151.6109345,57.06803726
"hr189",-151.3976416,57.19002535
"hr191",-151.1843486,57.3116119
"hr193",-150.9710557,57.43279769
"hr195",-150.7577627,57.55358351
"hr197",-150.5444698,57.67397013
"hr199",-150.3311768,57.79395836
"hr201",-150.1178839,57.91354898
"ht173",-152.8712502,56.09666122
"ht175",-152.6704469,56.21450887
"ht177",-152.4576349,56.33901003
"ht179",-152.2524707,56.45865358
"ht181",-152.0398255,56.58226331
"ht183",-151.8271803,56.70547019
"ht185",-151.6145351,56.82827497
"ht187",-151.4018899,56.9506784
"ht189",-151.1892447,57.07268124
"ht191",-150.9765995,57.19428424
"ht193",-150.7639543,57.31548817
"ht195",-150.5513091,57.4362938
"ht197",-150.3386638,57.5567019
"ht199",-150.1260186,57.67671326
"B2",-161.036,55.345
"B4",-161.639,55.363
"B5",-161.588,55.476
"B6",-161.523,55.559
"B7",-153.132,57.308
"B8",-153.001,57.316
"B9",-152.561,57.404
"B10",-152.723,57.457
"B11",-152.881,57.486
"B12",-152.362,57.646
"B13",-152.419,57.724
"B14",-152.262,57.875
"B15",-152.689,57.92
"B16",-152.854,57.825
"B17",-152.237,58.159
"B19",-156.367,57.358
"B20",-157.8,56.583
"B21",-157.317,56.783
