"X","Y"
204436.600676132,6148769.57392597
224436.600676132,6148769.57392597
244436.600676132,6148769.57392597
264436.600676132,6148769.57392597
284436.600676132,6148769.57392597
304436.600676132,6148769.57392597
324436.600676132,6148769.57392597
344436.600676132,6148769.57392597
364436.600676132,6148769.57392597
384436.600676132,6148769.57392597
404436.600676132,6148769.57392597
424436.600676132,6148769.57392597
444436.600676132,6148769.57392597
464436.600676132,6148769.57392597
484436.600676132,6148769.57392597
504436.600676132,6148769.57392597
524436.600676132,6148769.57392597
544436.600676132,6148769.57392597
564436.600676132,6148769.57392597
584436.600676132,6148769.57392597
604436.600676132,6148769.57392597
624436.600676132,6148769.57392597
644436.600676132,6148769.57392597
664436.600676132,6148769.57392597
24436.6006761316,6168769.57392597
44436.6006761316,6168769.57392597
64436.6006761316,6168769.57392597
84436.6006761316,6168769.57392597
104436.600676132,6168769.57392597
124436.600676132,6168769.57392597
144436.600676132,6168769.57392597
164436.600676132,6168769.57392597
184436.600676132,6168769.57392597
204436.600676132,6168769.57392597
224436.600676132,6168769.57392597
244436.600676132,6168769.57392597
264436.600676132,6168769.57392597
284436.600676132,6168769.57392597
304436.600676132,6168769.57392597
324436.600676132,6168769.57392597
344436.600676132,6168769.57392597
364436.600676132,6168769.57392597
384436.600676132,6168769.57392597
404436.600676132,6168769.57392597
424436.600676132,6168769.57392597
444436.600676132,6168769.57392597
464436.600676132,6168769.57392597
484436.600676132,6168769.57392597
504436.600676132,6168769.57392597
524436.600676132,6168769.57392597
544436.600676132,6168769.57392597
564436.600676132,6168769.57392597
584436.600676132,6168769.57392597
604436.600676132,6168769.57392597
624436.600676132,6168769.57392597
644436.600676132,6168769.57392597
664436.600676132,6168769.57392597
684436.600676132,6168769.57392597
4436.60067613155,6188769.57392597
24436.6006761316,6188769.57392597
44436.6006761316,6188769.57392597
64436.6006761316,6188769.57392597
84436.6006761316,6188769.57392597
104436.600676132,6188769.57392597
124436.600676132,6188769.57392597
144436.600676132,6188769.57392597
164436.600676132,6188769.57392597
184436.600676132,6188769.57392597
204436.600676132,6188769.57392597
224436.600676132,6188769.57392597
244436.600676132,6188769.57392597
264436.600676132,6188769.57392597
284436.600676132,6188769.57392597
304436.600676132,6188769.57392597
324436.600676132,6188769.57392597
344436.600676132,6188769.57392597
364436.600676132,6188769.57392597
384436.600676132,6188769.57392597
404436.600676132,6188769.57392597
424436.600676132,6188769.57392597
444436.600676132,6188769.57392597
464436.600676132,6188769.57392597
484436.600676132,6188769.57392597
504436.600676132,6188769.57392597
524436.600676132,6188769.57392597
544436.600676132,6188769.57392597
564436.600676132,6188769.57392597
584436.600676132,6188769.57392597
604436.600676132,6188769.57392597
624436.600676132,6188769.57392597
644436.600676132,6188769.57392597
664436.600676132,6188769.57392597
684436.600676132,6188769.57392597
704436.600676132,6188769.57392597
724436.600676132,6188769.57392597
4436.60067613155,6208769.57392597
24436.6006761316,6208769.57392597
44436.6006761316,6208769.57392597
64436.6006761316,6208769.57392597
84436.6006761316,6208769.57392597
104436.600676132,6208769.57392597
124436.600676132,6208769.57392597
144436.600676132,6208769.57392597
164436.600676132,6208769.57392597
184436.600676132,6208769.57392597
204436.600676132,6208769.57392597
224436.600676132,6208769.57392597
244436.600676132,6208769.57392597
264436.600676132,6208769.57392597
284436.600676132,6208769.57392597
304436.600676132,6208769.57392597
324436.600676132,6208769.57392597
344436.600676132,6208769.57392597
364436.600676132,6208769.57392597
384436.600676132,6208769.57392597
404436.600676132,6208769.57392597
424436.600676132,6208769.57392597
444436.600676132,6208769.57392597
464436.600676132,6208769.57392597
484436.600676132,6208769.57392597
504436.600676132,6208769.57392597
524436.600676132,6208769.57392597
544436.600676132,6208769.57392597
564436.600676132,6208769.57392597
584436.600676132,6208769.57392597
604436.600676132,6208769.57392597
624436.600676132,6208769.57392597
644436.600676132,6208769.57392597
664436.600676132,6208769.57392597
684436.600676132,6208769.57392597
704436.600676132,6208769.57392597
724436.600676132,6208769.57392597
744436.600676132,6208769.57392597
4436.60067613155,6228769.57392597
24436.6006761316,6228769.57392597
44436.6006761316,6228769.57392597
64436.6006761316,6228769.57392597
84436.6006761316,6228769.57392597
104436.600676132,6228769.57392597
124436.600676132,6228769.57392597
144436.600676132,6228769.57392597
164436.600676132,6228769.57392597
184436.600676132,6228769.57392597
204436.600676132,6228769.57392597
224436.600676132,6228769.57392597
244436.600676132,6228769.57392597
264436.600676132,6228769.57392597
284436.600676132,6228769.57392597
304436.600676132,6228769.57392597
324436.600676132,6228769.57392597
344436.600676132,6228769.57392597
364436.600676132,6228769.57392597
384436.600676132,6228769.57392597
404436.600676132,6228769.57392597
424436.600676132,6228769.57392597
444436.600676132,6228769.57392597
464436.600676132,6228769.57392597
484436.600676132,6228769.57392597
504436.600676132,6228769.57392597
524436.600676132,6228769.57392597
544436.600676132,6228769.57392597
